"VE_TOTAL","PERSONS","PEDS","NO_LANES","SP_LIMIT","FATALS","DRUNK_DR"
<node height="30.0">
1.0, 6.0, 0.0, 2.0, 0.0, 3.0, 0.0
3.0, 3.0, 0.0, 2.0, 0.0, 1.0, 0.0
2.0, 2.0, 0.0, 2.0, 0.0, 1.0, 0.0
1.0, 2.0, 1.0, 3.0, 0.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 0.0, 1.0, 1.0
7.0, 10.0, 0.0, 2.0, 25.0, 1.0, 0.0
<node height="42.0">
2.0, 8.0, 0.0, 2.0, 15.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 15.0, 1.0, 1.0
1.0, 2.0, 1.0, 2.0, 15.0, 1.0, 2.0
1.0, 4.0, 0.0, 2.0, 20.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 20.0, 1.0, 1.0
1.0, 2.0, 0.0, 2.0, 20.0, 1.0, 0.0
<node height="75.0">
1.0, 1.0, 0.0, 9.0, 25.0, 1.0, 1.0
1.0, 3.0, 2.0, 6.0, 25.0, 1.0, 0.0
2.0, 4.0, 0.0, 2.0, 30.0, 2.0, 3.0
1.0, 4.0, 0.0, 2.0, 30.0, 1.0, 2.0
1.0, 4.0, 0.0, 2.0, 30.0, 1.0, 1.0
2.0, 6.0, 0.0, 2.0, 30.0, 4.0, 1.0
3.0, 5.0, 0.0, 2.0, 30.0, 1.0, 1.0
5.0, 5.0, 0.0, 2.0, 30.0, 2.0, 1.0
1.0, 2.0, 0.0, 4.0, 30.0, 1.0, 2.0
1.0, 2.0, 1.0, 4.0, 30.0, 1.0, 1.0
1.0, 2.0, 1.0, 4.0, 30.0, 1.0, 1.0
1.0, 2.0, 1.0, 4.0, 30.0, 1.0, 1.0
1.0, 2.0, 1.0, 5.0, 30.0, 1.0, 0.0
1.0, 2.0, 1.0, 4.0, 30.0, 1.0, 0.0
1.0, 2.0, 1.0, 4.0, 30.0, 1.0, 0.0
1.0, 2.0, 1.0, 4.0, 30.0, 1.0, 0.0
1.0, 2.0, 1.0, 4.0, 30.0, 1.0, 0.0
1.0, 1.0, 0.0, 4.0, 30.0, 1.0, 0.0
2.0, 2.0, 0.0, 4.0, 30.0, 1.0, 0.0
2.0, 2.0, 0.0, 4.0, 30.0, 1.0, 0.0
1.0, 2.0, 1.0, 3.0, 30.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 30.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 30.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 30.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 30.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 30.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 30.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 30.0, 1.0, 2.0
1.0, 2.0, 1.0, 2.0, 30.0, 1.0, 1.0
1.0, 2.0, 1.0, 2.0, 30.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 30.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 30.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 30.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 30.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 30.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 30.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 30.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 30.0, 1.0, 0.0
1.0, 1.0, 0.0, 3.0, 30.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 30.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 30.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 30.0, 1.0, 1.0
2.0, 2.0, 0.0, 3.0, 30.0, 1.0, 1.0
2.0, 2.0, 0.0, 2.0, 30.0, 1.0, 1.0
1.0, 2.0, 0.0, 2.0, 30.0, 1.0, 0.0
2.0, 2.0, 0.0, 2.0, 30.0, 1.0, 0.0
2.0, 2.0, 0.0, 2.0, 30.0, 1.0, 0.0
2.0, 4.0, 2.0, 4.0, 30.0, 1.0, 0.0
1.0, 5.0, 4.0, 2.0, 30.0, 1.0, 1.0
5.0, 2.0, 1.0, 2.0, 25.0, 1.0, 0.0
4.0, 2.0, 0.0, 2.0, 25.0, 1.0, 0.0
4.0, 2.0, 0.0, 2.0, 25.0, 1.0, 0.0
3.0, 2.0, 1.0, 2.0, 25.0, 1.0, 0.0
3.0, 2.0, 1.0, 2.0, 25.0, 1.0, 0.0
2.0, 2.0, 1.0, 2.0, 25.0, 1.0, 1.0
3.0, 2.0, 1.0, 2.0, 25.0, 1.0, 1.0
2.0, 3.0, 2.0, 2.0, 25.0, 1.0, 0.0
2.0, 3.0, 2.0, 2.0, 25.0, 1.0, 1.0
1.0, 3.0, 2.0, 2.0, 25.0, 1.0, 0.0
1.0, 3.0, 2.0, 2.0, 25.0, 1.0, 0.0
1.0, 3.0, 1.0, 2.0, 25.0, 1.0, 0.0
1.0, 3.0, 1.0, 2.0, 25.0, 1.0, 0.0
1.0, 3.0, 1.0, 2.0, 25.0, 1.0, 0.0
