"VE_TOTAL","PERSONS","PEDS","NO_LANES","SP_LIMIT","FATALS","DRUNK_DR"
1,2,1,3,0,1,0
1,1,0,2,0,1,1
3,3,0,2,0,1,0
2,2,0,2,0,1,0
1,6,0,2,0,3,0
2,8,0,2,15,1,0
1,2,1,2,15,1,1
1,2,1,2,15,1,2
1,1,0,2,20,1,1
1,2,0,2,20,1,0
1,4,0,2,20,1,0
1,1,0,9,25,1,1
1,3,2,6,25,1,0
2,4,0,5,25,1,1
2,6,0,4,25,1,1
1,4,0,4,25,2,0
1,2,1,4,25,1,0
3,4,0,4,25,1,1
1,2,1,4,25,1,0
1,2,1,4,25,1,2
4,6,1,4,25,1,0
2,6,0,4,25,1,0
1,7,1,4,25,1,0
3,3,0,4,25,1,0
1,2,1,4,25,1,0
1,2,1,4,25,1,0
1,2,1,4,25,1,0
1,2,1,4,25,1,0
1,3,0,4,25,1,3
2,5,0,4,25,1,1
2,3,0,4,25,1,0
1,3,1,3,25,1,0
1,2,1,3,25,1,0
1,2,1,3,25,1,0
1,4,1,3,25,1,0
1,2,1,3,25,1,0
1,2,1,3,25,1,0
1,1,0,2,25,1,1
1,5,0,2,25,2,2
1,4,0,2,25,1,0
1,2,1,2,25,1,1
2,4,0,2,25,1,2
1,3,1,2,25,1,2
2,2,0,2,25,1,1
1,1,0,2,25,1,0
1,2,1,2,25,1,1
1,6,0,2,25,1,0
1,2,1,2,25,1,0
1,2,1,2,25,1,1
1,3,1,2,25,1,1
2,4,0,2,25,1,0
1,1,0,2,25,1,1
5,2,1,2,25,1,0
1,5,1,2,25,1,0
1,2,1,2,25,1,0
1,2,1,2,25,1,1
1,2,1,2,25,1,0
1,1,0,2,25,1,1
2,1,0,2,25,1,0
3,1,0,2,25,1,0
1,2,1,2,25,1,0
2,2,0,2,25,1,1
1,3,1,2,25,1,0
2,4,0,2,25,1,0
1,1,0,2,25,1,0
2,3,0,2,25,1,0
1,2,1,2,25,1,0
1,1,0,2,25,1,0
1,3,1,2,25,1,0
2,3,2,2,25,1,0
1,2,1,2,25,1,0
1,1,0,2,25,1,0
1,1,0,2,25,1,0
1,2,1,2,25,1,0
2,2,0,2,25,1,1
1,1,0,2,25,1,0
1,1,0,2,25,1,1
1,1,0,2,25,1,0
1,4,1,2,25,1,0
1,3,1,2,25,1,0
1,1,0,2,25,1,1
1,3,2,2,25,1,0
2,1,0,2,25,1,0
7,10,0,2,25,1,0
2,2,0,2,25,1,1
1,1,0,2,25,1,1
2,3,0,2,25,1,0
1,1,0,2,25,1,0
3,2,1,2,25,1,0
2,2,0,2,25,1,0
1,1,0,2,25,1,0
1,2,1,2,25,1,0
1,1,0,2,25,1,0
1,1,0,2,25,1,0
2,1,0,2,25,1,0
3,3,0,2,25,1,1
1,2,1,2,25,1,0
2,3,0,2,25,1,0
1,2,0,2,25,1,0
1,1,0,2,25,1,1
2,1,0,2,25,1,0
2,2,0,2,25,1,0
1,2,1,2,25,1,0
1,1,0,2,25,1,0
2,3,0,2,25,1,0
2,4,0,2,25,1,0
1,2,0,2,25,1,1
1,3,1,2,25,1,0
1,2,1,2,25,1,0
1,2,1,2,25,1,0
2,4,0,2,25,1,1
2,3,0,2,25,1,0
2,3,2,2,25,1,1
1,2,1,2,25,1,0
2,3,0,2,25,1,0
3,1,0,2,25,1,0
1,1,0,2,25,1,0
1,2,0,2,25,1,0
2,3,0,2,25,1,0
3,3,0,2,25,1,0
1,2,1,2,25,1,0
1,1,0,2,25,1,0
2,4,1,2,25,1,0
1,1,0,2,25,1,0
1,3,1,2,25,1,0
1,2,0,2,25,2,0
1,2,1,2,25,1,0
1,3,1,2,25,1,0
1,3,2,2,25,1,0
1,2,1,2,25,1,0
2,2,1,2,25,1,1
4,2,0,2,25,1,0
2,2,0,2,25,1,0
1,2,1,2,25,1,0
1,1,0,2,25,1,0
1,2,1,2,25,1,0
3,2,1,2,25,1,0
2,3,0,2,25,1,1
3,2,1,2,25,1,1
1,1,0,2,25,1,0
1,2,1,2,25,1,1
1,4,0,2,25,1,2
1,4,0,2,25,1,0
1,1,0,2,25,1,1
1,1,0,2,25,1,1
1,1,0,2,25,1,0
1,4,0,2,25,1,0
1,3,0,2,25,1,2
1,5,0,2,25,1,2
2,3,0,2,25,2,3
1,1,0,2,25,1,1
1,3,0,2,25,1,0
4,2,0,2,25,1,0
1,1,0,2,25,1,0
1,1,0,1,25,1,1
1,2,0,1,25,1,1
2,1,0,1,25,1,1
2,3,0,9,30,1,1
1,2,0,9,30,1,2
1,2,1,5,30,1,0
1,2,1,4,30,1,1
2,2,0,4,30,1,0
1,2,1,4,30,1,0
1,2,1,4,30,1,1
2,4,2,4,30,1,0
1,1,0,4,30,1,0
1,2,1,4,30,1,1
1,2,1,4,30,1,0
1,2,1,4,30,1,0
1,2,1,4,30,1,0
2,2,0,4,30,1,0
1,2,0,4,30,1,2
1,1,0,3,30,1,1
2,2,0,3,30,1,1
1,2,1,3,30,1,0
1,1,0,2,30,1,0
3,5,0,2,30,1,1
1,2,1,2,30,1,1
1,2,1,2,30,1,0
1,2,1,2,30,1,0
1,1,0,2,30,1,1
1,2,1,2,30,1,0
1,1,0,2,30,1,0
1,5,4,2,30,1,1
1,2,0,2,30,1,0
1,1,0,2,30,1,0
1,2,1,2,30,1,0
2,2,0,2,30,1,0
2,6,0,2,30,4,1
1,1,0,2,30,1,0
1,1,0,2,30,1,0
1,1,0,2,30,1,0
1,2,1,2,30,1,0
1,1,0,2,30,1,0
1,2,1,2,30,1,0
2,2,0,2,30,1,0
1,1,0,2,30,1,0
5,5,0,2,30,2,1
1,2,1,2,30,1,2
2,2,0,2,30,1,1
1,4,0,2,30,1,2
1,2,1,2,30,1,1
2,4,0,2,30,2,3
1,1,0,2,30,1,1
1,4,0,2,30,1,1
1,1,0,2,30,1,1
1,2,1,9,35,1,0
2,2,0,9,35,1,1
1,2,1,9,35,1,0
2,1,0,9,35,1,0
1,2,1,9,35,1,0
1,1,0,9,35,1,0
1,2,0,9,35,1,2
1,2,1,7,35,1,0
1,1,0,6,35,1,0
3,5,0,6,35,1,0
2,2,0,6,35,1,0
1,3,1,6,35,1,0
3,3,0,6,35,1,0
2,3,0,6,35,1,0
2,2,0,6,35,1,0
5,6,0,6,35,1,0
3,3,0,6,35,1,1
2,3,0,6,35,2,2
1,2,1,6,35,1,2
2,4,0,6,35,1,1
1,2,1,5,35,1,1
2,3,2,4,35,1,1
1,2,1,4,35,1,0
1,2,1,4,35,1,1
1,2,1,4,35,1,2
1,1,0,4,35,1,1
1,4,1,4,35,1,2
1,2,1,4,35,1,0
1,2,1,4,35,1,1
1,2,1,4,35,1,1
2,2,0,4,35,1,0
1,2,1,4,35,1,0
1,3,2,4,35,1,2
3,1,0,4,35,1,0
1,2,1,4,35,1,1
1,2,1,4,35,1,0
2,5,0,4,35,1,0
4,5,0,4,35,1,1
2,2,0,4,35,1,1
2,2,1,4,35,1,1
1,2,1,4,35,1,1
2,3,1,4,35,1,0
1,2,1,4,35,1,0
1,4,0,4,35,1,1
2,3,0,4,35,1,0
1,2,1,4,35,1,1
1,2,1,4,35,1,1
1,2,1,4,35,1,0
2,3,1,4,35,1,1
2,3,0,4,35,1,0
1,2,1,4,35,1,0
1,2,1,4,35,1,0
1,5,1,4,35,1,1
1,3,1,4,35,1,0
1,2,1,4,35,1,1
1,2,1,4,35,1,1
1,2,1,4,35,1,0
3,5,0,4,35,1,0
3,4,0,4,35,1,1
2,2,0,4,35,1,0
1,2,1,4,35,1,0
1,3,0,4,35,1,0
2,2,0,4,35,1,0
2,2,0,4,35,1,0
2,3,0,4,35,1,1
1,2,1,4,35,1,0
1,4,1,4,35,1,0
2,3,0,4,35,1,0
2,2,0,4,35,1,0
1,2,1,4,35,1,0
1,2,0,4,35,1,0
2,5,0,4,35,2,0
1,2,1,4,35,1,1
3,3,0,4,35,1,0
1,3,0,4,35,2,0
2,3,0,4,35,1,0
1,1,0,4,35,1,0
1,2,1,4,35,1,0
2,4,2,4,35,1,0
1,3,1,4,35,1,0
3,4,0,4,35,1,0
2,3,0,4,35,1,0
1,2,1,4,35,1,0
3,2,0,4,35,1,0
1,1,0,4,35,1,1
2,2,0,4,35,1,0
1,1,0,4,35,1,0
1,2,1,4,35,1,0
2,2,0,4,35,1,0
1,2,1,4,35,1,0
3,5,0,4,35,1,0
3,2,0,4,35,1,1
3,4,0,4,35,1,1
2,3,0,4,35,1,0
2,6,0,4,35,1,0
1,3,2,4,35,1,0
1,2,1,4,35,1,0
1,2,1,4,35,1,0
3,4,0,4,35,2,0
1,2,1,4,35,1,0
2,2,0,4,35,1,0
1,2,1,4,35,1,0
1,4,0,4,35,3,1
2,1,0,4,35,1,1
2,4,0,4,35,1,1
1,4,0,4,35,1,0
1,1,0,4,35,1,1
1,1,0,4,35,1,1
1,1,0,4,35,1,1
1,1,0,4,35,1,0
1,2,1,3,35,1,0
1,2,0,3,35,1,1
1,2,1,3,35,1,1
2,3,0,3,35,1,0
1,2,1,3,35,1,0
1,5,1,3,35,1,0
2,2,0,3,35,1,1
1,2,1,3,35,1,0
1,2,1,3,35,1,0
1,2,1,3,35,1,0
1,2,1,3,35,1,0
2,3,0,3,35,1,0
1,6,5,3,35,2,0
1,2,1,3,35,1,1
1,2,1,3,35,1,0
1,1,0,3,35,1,1
2,2,0,3,35,1,1
2,3,0,3,35,1,0
2,6,0,3,35,1,1
1,3,0,2,35,1,1
1,2,0,2,35,1,1
2,3,0,2,35,1,2
1,4,0,2,35,1,0
2,3,0,2,35,2,3
1,2,1,2,35,1,1
1,2,1,2,35,1,1
1,2,1,2,35,1,0
1,2,1,2,35,1,0
2,9,0,2,35,1,1
1,1,0,2,35,1,1
1,1,0,2,35,1,1
2,4,0,2,35,1,1
1,3,1,2,35,1,1
1,2,1,2,35,1,0
2,5,0,2,35,1,0
1,1,0,2,35,1,1
3,6,0,2,35,1,1
1,2,1,2,35,1,0
1,3,0,2,35,1,0
1,1,0,2,35,1,0
3,5,0,2,35,1,1
1,1,0,2,35,1,0
1,2,1,2,35,1,0
1,4,0,2,35,1,0
1,1,0,2,35,1,1
1,4,1,2,35,1,0
1,2,1,2,35,1,1
1,5,0,2,35,1,0
3,5,0,2,35,1,0
1,5,0,2,35,3,0
1,2,0,2,35,1,0
1,2,1,2,35,1,2
2,6,0,2,35,1,0
2,2,0,2,35,1,2
1,1,0,2,35,1,1
1,2,1,2,35,1,1
1,2,0,2,35,1,0
2,3,1,2,35,1,0
1,2,1,2,35,1,0
1,2,0,2,35,1,0
1,6,0,2,35,1,0
2,3,0,2,35,1,0
3,3,0,2,35,1,0
1,2,0,2,35,1,1
1,1,0,2,35,1,1
1,2,0,2,35,1,0
1,2,1,2,35,1,0
1,1,0,2,35,1,0
3,2,0,2,35,1,0
2,2,1,2,35,1,0
1,1,0,2,35,1,0
1,1,0,2,35,1,0
